# Wavelength_Angstrom  Normalized_Flux
4.818000011451999853e+03 9.807202219963073730e-01
4.818050011452700346e+03 9.781696796417236328e-01
4.818100011453399929e+03 9.893243312835693359e-01
4.818150011454099513e+03 9.874736666679382324e-01
4.818200011454800006e+03 9.843561649322509766e-01
4.818250011455499589e+03 9.980350732803344727e-01
4.818300011456200082e+03 1.008846879005432129e+00
4.818350011456899665e+03 1.007409334182739258e+00
4.818400011457600158e+03 9.989067912101745605e-01
4.818450011458299741e+03 9.892753958702087402e-01
4.818500011459000234e+03 9.923353195190429688e-01
4.818550011459699817e+03 1.007672905921936035e+00
4.818600011460400310e+03 1.011321425437927246e+00
4.818650011461099893e+03 1.019707202911376953e+00
4.818700011461800386e+03 1.015287041664123535e+00
4.818750011462499970e+03 1.005776643753051758e+00
4.818800011463199553e+03 9.879331588745117188e-01
4.818850011463900046e+03 9.839502573013305664e-01
4.818900011464599629e+03 9.726272821426391602e-01
4.818950011465300122e+03 9.593243598937988281e-01
4.819000011465999705e+03 9.671661257743835449e-01
4.819050011466700198e+03 9.728599786758422852e-01
4.819100011467399781e+03 9.785181879997253418e-01
4.819150011468100274e+03 9.865763783454895020e-01
4.819200011468799858e+03 9.934501647949218750e-01
4.819250011469500350e+03 1.005566358566284180e+00
4.819300011470199934e+03 1.010805964469909668e+00
4.819350011470900427e+03 1.004264950752258301e+00
4.819400011471600010e+03 1.003831267356872559e+00
4.819450011472299593e+03 1.001876473426818848e+00
4.819500011473000086e+03 1.006284236907958984e+00
4.819550011473699669e+03 1.000753641128540039e+00
4.819600011474400162e+03 1.010539531707763672e+00
4.819650011475099745e+03 1.009310007095336914e+00
4.819700011475800238e+03 1.011870145797729492e+00
4.819750011476499822e+03 1.005669832229614258e+00
4.819800011477200314e+03 1.008627414703369141e+00
4.819850011477899898e+03 1.019141316413879395e+00
4.819900011478599481e+03 1.017751455307006836e+00
4.819950011479299974e+03 1.008433341979980469e+00
4.820000011480000467e+03 1.006739974021911621e+00
4.820050011480700050e+03 9.904977083206176758e-01
4.820100011481399633e+03 9.300568103790283203e-01
4.820150011482100126e+03 8.176070451736450195e-01
4.820200011482799709e+03 7.330610156059265137e-01
4.820250011483500202e+03 7.961885929107666016e-01
4.820300011484199786e+03 9.288194775581359863e-01
4.820350011484900278e+03 1.010760784149169922e+00
4.820400011485599862e+03 1.016531586647033691e+00
4.820450011486300355e+03 1.010830640792846680e+00
4.820500011486999938e+03 1.005521774291992188e+00
4.820550011487699521e+03 9.964740276336669922e-01
4.820600011488400014e+03 1.003137946128845215e+00
4.820650011489099597e+03 1.011397838592529297e+00
4.820700011489800090e+03 1.000064730644226074e+00
4.820750011490499674e+03 9.775598049163818359e-01
4.820800011491200166e+03 9.459115862846374512e-01
4.820850011491899750e+03 8.848229050636291504e-01
4.820900011492600242e+03 8.149273991584777832e-01
4.820950011493299826e+03 8.243251442909240723e-01
4.821000011494000319e+03 8.892894387245178223e-01
4.821050011494699902e+03 9.732828140258789062e-01
4.821100011495400395e+03 9.948061704635620117e-01
4.821150011496099978e+03 1.005512356758117676e+00
4.821200011496799561e+03 9.811616539955139160e-01
4.821250011497500054e+03 9.567770361900329590e-01
4.821300011498199638e+03 9.537340998649597168e-01
4.821350011498900130e+03 9.576284885406494141e-01
4.821400011499599714e+03 9.702653288841247559e-01
4.821450011500300207e+03 9.896529316902160645e-01
4.821500011500999790e+03 9.901846647262573242e-01
4.821550011501700283e+03 9.960138797760009766e-01
4.821600011502399866e+03 9.989389181137084961e-01
4.821650011503100359e+03 1.004095196723937988e+00
4.821700011503799942e+03 1.000436663627624512e+00
4.821750011504500435e+03 9.961326718330383301e-01
4.821800011505200018e+03 9.975070357322692871e-01
4.821850011505899602e+03 9.971872568130493164e-01
4.821900011506600094e+03 1.000927567481994629e+00
4.821950011507299678e+03 9.970624446868896484e-01
4.822000011508000171e+03 9.929043650627136230e-01
4.822050011508699754e+03 9.771851301193237305e-01
4.822100011509400247e+03 9.673205018043518066e-01
4.822150011510099830e+03 9.645558595657348633e-01
4.822200011510800323e+03 9.764088392257690430e-01
4.822250011511499906e+03 9.764050245285034180e-01
4.822300011512199490e+03 9.528774619102478027e-01
4.822350011512899982e+03 9.255493879318237305e-01
4.822400011513600475e+03 9.171141982078552246e-01
4.822450011514300058e+03 9.250521063804626465e-01
4.822500011514999642e+03 9.458588957786560059e-01
4.822550011515700135e+03 9.695625305175781250e-01
4.822600011516399718e+03 9.777112603187561035e-01
4.822650011517100211e+03 9.808579683303833008e-01
4.822700011517799794e+03 9.775878190994262695e-01
4.822750011518500287e+03 9.710314273834228516e-01
4.822800011519199870e+03 9.560433030128479004e-01
4.822850011519900363e+03 9.471260905265808105e-01
4.822900011520599946e+03 9.485352635383605957e-01
4.822950011521299530e+03 9.542108774185180664e-01
4.823000011522000023e+03 9.172410964965820312e-01
4.823050011522699606e+03 8.577996492385864258e-01
4.823100011523400099e+03 8.055363297462463379e-01
4.823150011524099682e+03 7.759549617767333984e-01
4.823200011524800175e+03 6.718904376029968262e-01
4.823250011525499758e+03 4.811802208423614502e-01
4.823300011526200251e+03 3.386589288711547852e-01
4.823350011526899834e+03 4.167903959751129150e-01
4.823400011527600327e+03 6.458687186241149902e-01
4.823450011528299910e+03 8.275940418243408203e-01
4.823500011529000403e+03 9.170263409614562988e-01
4.823550011529699987e+03 9.482414722442626953e-01
4.823600011530399570e+03 9.557315111160278320e-01
4.823650011531100063e+03 9.486509561538696289e-01
4.823700011531799646e+03 9.441660642623901367e-01
4.823750011532500139e+03 9.535015821456909180e-01
4.823800011533199722e+03 9.188304543495178223e-01
4.823850011533900215e+03 7.673572897911071777e-01
4.823900011534599798e+03 5.987935662269592285e-01
4.823950011535300291e+03 5.513970255851745605e-01
4.824000011535999874e+03 6.852153539657592773e-01
4.824050011536700367e+03 8.570519089698791504e-01
4.824100011537399951e+03 9.518184661865234375e-01
4.824150011538100443e+03 9.804153442382812500e-01
4.824200011538800027e+03 9.740037322044372559e-01
4.824250011539499610e+03 9.638370275497436523e-01
4.824300011540200103e+03 9.592922925949096680e-01
4.824350011540899686e+03 9.711319208145141602e-01
4.824400011541600179e+03 9.775630235671997070e-01
4.824450011542299762e+03 9.870254397392272949e-01
4.824500011543000255e+03 9.852589368820190430e-01
4.824550011543699839e+03 9.866489171981811523e-01
4.824600011544400331e+03 9.807277321815490723e-01
4.824650011545099915e+03 9.698163270950317383e-01
4.824700011545799498e+03 9.607868790626525879e-01
4.824750011546499991e+03 9.510075449943542480e-01
4.824800011547199574e+03 9.572867751121520996e-01
4.824850011547900067e+03 9.759371280670166016e-01
4.824900011548599650e+03 9.795591831207275391e-01
4.824950011549300143e+03 9.898928999900817871e-01
4.825000011549999726e+03 9.778885245323181152e-01
4.825050011550700219e+03 9.386819601058959961e-01
4.825100011551399803e+03 8.716914057731628418e-01
4.825150011552100295e+03 8.218309283256530762e-01
4.825200011552799879e+03 8.213971257209777832e-01
4.825250011553500372e+03 8.408921957015991211e-01
4.825300011554199955e+03 8.684164285659790039e-01
4.825350011554899538e+03 9.111487269401550293e-01
4.825400011555600031e+03 9.426023960113525391e-01
4.825450011556299614e+03 9.495326876640319824e-01
4.825500011557000107e+03 9.494745731353759766e-01
4.825550011557699690e+03 9.578217864036560059e-01
4.825600011558400183e+03 9.766174554824829102e-01
4.825650011559099767e+03 9.914026856422424316e-01
